wavelength,flux
6422,4.463e-18
6424,1.31e-17
6426,1.467e-17
6429,1.05e-17
6431,1.234e-17
6434,1.804e-17
6436,7.907e-18
6439,1.117e-17
6441,1.76e-17
6443,1.622e-17
6446,1.814e-17
6448,1.263e-17
6451,1.726e-17
6453,1.622e-17
6456,1.133e-17
6458,1.099e-17
6460,1.216e-17
6463,1.299e-17
6465,1.104e-17
6468,8.693e-18
6470,2.077e-17
6473,2.244e-17
6475,1.101e-17
6477,1.087e-17
6480,1.649e-17
6482,1.317e-17
6485,1.871e-17
6487,1.051e-17
6490,1.212e-17
6492,1.6e-17
6494,1.899e-17
6497,1.261e-17
6499,1.807e-17
6502,1.237e-17
6504,1.757e-17
6507,1.561e-17
6509,1.467e-17
6511,1.477e-17
6514,1.934e-17
6516,1.422e-17
6519,5.151e-18
6521,1.406e-17
6524,1.686e-17
6526,1.221e-17
6528,1.405e-17
6531,1.312e-17
6533,1.261e-17
6536,1.258e-17
6538,3.512e-18
6541,7.394e-18
6543,1.437e-17
6545,1.111e-17
6548,1.216e-17
6550,2.085e-17
6553,1.521e-17
6562,1.499e-17
6565,1.441e-17
6567,1.525e-17
6570,1.915e-17
6572,1.466e-17
6575,2.003e-17
6577,2.059e-17
6579,8.491e-18
6582,7.713e-18
6584,1.607e-17
6587,1.656e-17
6589,9.713e-18
6592,1.12e-17
6594,2.154e-17
6596,1.458e-17
6599,1.122e-17
6601,1.468e-17
6604,1.667e-17
6606,1.241e-17
6609,1.281e-17
6611,1.74e-17
6614,9.124e-18
6616,1.51e-17
6618,1.727e-17
6621,1.433e-17
6623,1.253e-17
6626,1.676e-17
6628,1.396e-17
6631,1.391e-17
6633,1.386e-17
6635,1.38e-17
6638,1.375e-17
6640,1.37e-17
6643,1.364e-17
6645,1.359e-17
6648,1.354e-17
6650,1.348e-17
6652,1.343e-17
6655,1.338e-17
6657,1.332e-17
6660,1.327e-17
6662,1.322e-17
6665,1.317e-17
6667,1.311e-17
6669,1.306e-17
6672,1.301e-17
6674,1.295e-17
6677,1.29e-17
6679,1.285e-17
6682,1.279e-17
6684,1.274e-17
6686,1.269e-17
6689,1.264e-17
6691,1.258e-17
6694,1.78e-17
6696,1.388e-17
6699,8.13e-18
6701,8.473e-18
6703,6.911e-18
6706,1.478e-17
6708,1.165e-17
6711,1.108e-17
6713,1.053e-17
6716,1.05e-17
6718,1.203e-17
6720,8.454e-18
6723,1.345e-17
6725,1.485e-17
6728,1.266e-17
6730,1.571e-17
6733,1.999e-17
6735,8.732e-18
6737,3.88e-18
6740,1.526e-17
6742,1.905e-17
6745,1.253e-17
6747,9.692e-18
6750,1.037e-17
6752,8.249e-18
6754,8.035e-18
6757,1.049e-17
6759,1.398e-17
6762,8.496e-18
6764,1.413e-17
6767,9.907e-18
6769,1.485e-17
6771,1.029e-17
6774,7.218e-18
6776,9.428e-18
6779,7.524e-18
6781,1.204e-17
6784,1.473e-17
6786,1.653e-17
6788,2.036e-17
6791,1.313e-17
6793,1.66e-17
6796,1.164e-17
6798,7.184e-18
6801,8.269e-18
6803,1.242e-17
6806,1.392e-17
6808,1.484e-17
6810,1.411e-17
6813,7.176e-18
6815,9.113e-18
6818,1.57e-17
6820,1.272e-17
6823,1.804e-17
6825,1.202e-17
6827,1.279e-17
6830,1.427e-17
6832,1.164e-17
6835,1.011e-17
6837,1.235e-17
6840,1.637e-17
6842,3.886e-18
6844,1.113e-17
6847,1.055e-17
6849,1.458e-17
6852,1.249e-17
6854,1.031e-17
6857,1.475e-17
6859,1.452e-17
6861,1.566e-17
6864,9.479e-18
6866,9.125e-18
6869,8.723e-18
6871,7.983e-18
6874,2.049e-17
6876,1.062e-17
6878,1.144e-17
6881,4.982e-18
6883,1.176e-17
6886,1.455e-17
6888,1.705e-17
6891,1.895e-17
6893,1.14e-17
6895,1.425e-17
6898,1.142e-17
6900,1.097e-17
6903,5.138e-18
6905,2.949e-18
6908,1.691e-17
6910,1.439e-17
6912,1.257e-17
6915,1.756e-17
6917,1.561e-17
6920,1.182e-17
6922,1.041e-17
6925,5.49e-18
6927,9.589e-18
6929,1.485e-17
6932,1.468e-17
6934,9.322e-18
6937,1.136e-17
6939,1.137e-17
6942,3.045e-18
6944,7.234e-18
6946,7.439e-18
6949,5.575e-18
6951,8.483e-18
6954,5.27e-18
